Name	TSig	EvSw	Tempo	Long Name	Genre	Group	#Instr	Other Genres
128_45	12/8	sw8	45	12/8 at T=45 - Slow 12/8 Jazz	Jazz	Jazz	5	Jazz Ballad,Jazz Swing
128ORK	12/8	sw8	70	Orchestral 12/8	Classical	Country	4	Orchestral
128Rok1	12/8	sw8	70	12/8 Power Rock Ballad	Medium Rock	Pop	5	Power Ballad,Ballad,Lite Pop
128Rok2	12/8	sw8	65	12/8 Loud Rock Feel	Medium Rock	Pop	5	Lite Pop,Doo Wop
12_8Surf	12/8	sw8	70	12/8 Surf - Slow 12/8 - 60s Pop	Lite Pop	Pop	5	Surf,Doo Wop
12ST&BAN	4/4	sw16	125	12-String Guitar & Banjo	Bluegrass	Jazz	3	Country Classic,Country
3git_16	4/4	ev16	100	3 Guitars 16ths	Lite Pop	Pop	4	Medium Rock
58_78POP	12/8	ev16	80	58_78 Pop Style - About Time	Lite Pop	Pop	5	Doo Wop
60~ROK8	4/4	ev8	123	60's Brit Rock 8 Blues-Train	Lite Pop	Pop	5	Rock n' Roll,Blues
60_ROK8	4/4	ev8	123	60's Brit Rock 8 - No Brushes	Lite Pop	Pop	5	Rock n' Roll,Blues
60S44ROK	4/4	ev8	140	60's Brit 4/4 Pop Rock	Lite Pop	Pop	5	Doo Wop
60SBLUES	4/4	ev8	118	60's Brit Rock Honky Tonk Blues	Blues	Pop	5	Texas Blues,Country Contemporary,Rock n' Roll,Lite Pop,Country
60SPOP16	4/4	ev8	114	60's Brit Pop 16	Lite Pop	Pop	5	Lite Pop
60SRKBAL	4/4	ev16	77	60's Brit Rock Ballad	Ballad	Pop	5	Power Ballad,Medium Rock,Lite Pop
60_STRUM	4/4	ev8	135	60's Brit Strum Guitars - Pop Rock	Lite Pop	Pop	5	Rock n' Roll,Blues
90Bal+	4/4	ev8	120	Contemporary Country Ballad +	Country	Country	5	Country Ballad,Country Contemporary
Aaron+	4/4	ev8	115	Medium Ev.8 Country Rock+	Country	Country	5	Country Contemporary
ABRA	4/4	ev16	105	Abra - Smooth Jazz -16th Funk	Funk	Jazz	5	Jazz,Smooth Jazz,Jazz,Smooth Jazz
AcBallad	4/4	sw8	70	Acoustic Ballad -Unplugged	Blues	Pop	5	Country,Country Ballad,Country Classic,Folk,Jazz,Jazz Ballad,Ballad
AFRICA2	12/8	sw8	105	Africa 2 - World Styles 2	World	Country	5	African
AFRICAN	4/4	sw8	140	African Jazz Style	Jazz	Jazz	4	Latin,World,African
Afro2Sw1	12/8	sw8	110	Afro to Swing 1 - 12/8 Afro to Swing	Jazz	Jazz	3	Jazz Swing,Bebop
AfroSal	4/4	ev8	110	Afro Salsa - Traditional Cuban Afro	Latin	Jazz	4	Salsa
AG_ARETH	4/4	sw8	112	AG_ARETH - Soulful Shuffle Gospel	Blues	Pop	5	Worship,Lite Pop,R&B,Soul,Gospel
AG_BESS	12/8	sw8	62	AG_BESS - Bluesy 12/8 Gospel	Blues	Pop	5	Worship,Lite Pop,Gospel
AG_BISH	4/4	sw16	95	AG_BISH - Bouncy Old Time Gospel	Lite Pop	Pop	4	Worship,Gospel
AG_BURD	4/4	sw8	88	AG_BURD - Mid-Tempo Shuffle Gospel	Lite Pop	Pop	5	Worship,Gospel
AG_CLAP	4/4	sw8	140	AG_CLAP - Bouncy Shuffle Gospel	Blues	Pop	4	Worship,Lite Pop,Gospel
AG_CLEV	4/4	ev16	65	AG_CLEV - Slow Soulful Gospel	Lite Pop	Pop	5	Worship,R&B,Soul,Gospel
AG_DONIE	4/4	ev8	112	AG_DONIE - Funky Uptempo Gospel	Funk	Pop	4	Worship,Lite Pop,Gospel
AG_FLYIN	4/4	ev8	270	AG_FLYIN - Very Fast Gospel Feel	Lite Pop	Pop	5	Worship,Gospel
AG_FRANK	4/4	ev8	150	AG_FRANK - Soulful R&B Blues Gospel	Blues	Pop	5	Worship,Lite Pop,R&B,R&B,Soul,Gospel
AG_JUMP	4/4	ev16	130	AG_JUMP - Uptempo Gospel	Lite Pop	Pop	4	Worship,Gospel
AG_MORT	4/4	ev8	295	AG_MORT - Uptempo Gospel Feel	Lite Pop	Pop	4	Worship,Gospel
AG_OLAND	4/4	ev16	90	AG_OLAND - Funky Tempo Gospel	Funk	Pop	5	Worship,Lite Pop,Gospel
AG_PACE	4/4	sw16	95	AG_PACE - Funky Tempo Gospel	Funk	Pop	5	Worship,Lite Pop,Gospel
AG_SKIP	4/4	sw8	180	AG_SKIP - Bouncy Tempo Gospel	Blues	Pop	5	Worship,Lite Pop,Gospel
AG_SOUL	4/4	sw8	75	AG_SOUL - Slow Soulful Gospel	Blues	Pop	4	Worship,Lite Pop,R&B,Soul,Gospel
AG_THOM	4/4	sw16	115	AG_THOM - Uptempo Gospel	Lite Pop	Pop	4	Worship,Gospel
AGUILER1	4/4	ev8	138	Aguilera - Top 40 8ths 1	Lite Pop	Pop	5	Pop
AGUILERA	4/4	ev8	138	Aguilera - Top 40 8ths 2	Lite Pop	Pop	5	Pop
AHMAD1	4/4	sw8	170	Ahmad1 - Funky Latin-Jazz Feel	Funk	Jazz	3	Jazz,Latin
Alabama1	4/4	ev16	80	Alabama1 - Med-Slow Southern Rock	Country	Country	5	Country Contemporary
Alabama2	4/4	ev8	127	Alabama2 - Medium Even 8ths Country	Country	Country	5	Country Classic
ALANIS1	4/4	ev8	95	Alanis 1 - Medium Arena Rock	Lite Pop	Pop	5	Pop
ALBERTI	4/4	ev8	120	Alberti Classical Piano	Classical	Country	3	Classical
AlfaVil2	4/4	ev8	130	AlfaVil2 - Ev.8ths 80s Pop Synth	Latin	Pop	5	Pop
ALTCNTRY	4/4	ev8	155	Alt. Country - Ev.8ths Country Rock	Country	Country	5	Country Contemporary
ALTFOLK	4/4	sw16	100	Alt. Folk - Swing 16ths Country Folk	Country	Country	5	Folk,Folk
ALTROCK1	4/4	ev8	170	Alternative Rock 1 Style	Heavy Rock	Pop	5	Heavy Rock
ALTROCK2	4/4	ev16	85	Alternative Rock 2 Style	Heavy Rock	Pop	5	Heavy Rock
ALTROCK3	4/4	ev16	85	Alternative Rock 3 Style	Heavy Rock	Pop	5	Heavy Rock
ALTROCK4	4/4	ev8	125	Alternative Rock 4 Style	Heavy Rock	Pop	5	Heavy Rock
ALWAYS	4/4	ev16	80	Always - 16ths Pop-Folk Ballad	Folk	Pop	5	Pop,Lite Pop
AMOUR!	4/4	ev8	110	Amour-St8 MOR Folk/Rock w/ Backbeat	Folk	Pop	5	Folk
amour!2	4/4	ev8	110	amour!2.STY	Pop	Pop	5	Pop
ANCHORS	4/4	sw8	130	Anchors -Medium Swing Southern Gospel	Country	Country	5	Gospel,Worship,Lite Pop,Gospel
ANSWERS	4/4	ev8	90	Answers - New Age - Smooth Jazz	Jazz	Jazz	5	Smooth Jazz,New Age,Lite Pop,Smooth Jazz
ARPEGGIO	4/4	sw8	75	Country Arpeggios	Country	Country	5	Country Classic,Country Contemporary,Lite Pop
ARPORK44	4/4	ev8	165	Orchestral Piano Arpeggios 4/4	Classical	Country	4	Classical
ASHANT1	4/4	ev16	90	Ashant 1 - Pop Ballad R&B	Jazz	Jazz	5	Jazz Ballad,Smooth Jazz,R&B,R&B,Soul
Astaire1	4/4	sw8	116	Astaire1 - Foxtrot Swing Dance	Jazz	Jazz	5	Jazz Swing
Avenues	4/4	ev16	95	Avenues - High Energy Even 16s Rock	Heavy Rock	Pop	5	Heavy Rock
Avril+	4/4	ev16	85	Alternative Rock, Grunge Style+	Country	Country	5	Heavy Rock
AVRIL1	4/4	ev8	90	Avril 1 - Loud 4/4 Pop Rock	Heavy Rock	Pop	5	Pop
Awaken1	4/4	ev16	50	Awaken1 - Slow, Mystic New Age	Lite Pop	Pop	5	New Age
Awaken2	4/4	ev16	55	Awaken2 - Slow, Meditative New Age	Lite Pop	Pop	5	New Age
AWB_1	4/4	sw16	105	AWB_1 - 80s Funk Swing 16th Rock	Funk	Pop	5	Modern Pop
BACH_1	4/4	ev8	140	Bach 1 Classical Piano	Classical	Country	2	Classical
Bachat2	4/4	ev8	105	Bachata 2 - Traditional Dominican	Latin	Jazz	4	Salsa
BACHATA	4/4	ev8	125	Bachata Pop Latin Style	Latin	Pop	5	Latin
BACKST_8	4/4	ev8	100	Back Street - Top 40 Straight 8ths	Lite Pop	Pop	5	Pop
BAGWELL	4/4	ev16	120	Bagwell -Med Straight 16ths Southern Gospel	Country	Country	5	Gospel,Worship,Lite Pop,Gospel
BakBeat	4/4	ev8	120	Back Beat - Ev.8, 80s Rock	Lite Pop	Pop	5	Pop
BAKST_16	4/4	ev16	110	Back Street - Top 40 16s	Lite Pop	Pop	5	Synth Pop,Pop
BANJ&MAN	4/4	sw16	130	Banjo & Mandolin Swing 16ths	Country	Country	3	Bluegrass,Folk
BASRIF_8	4/4	ev8	140	Bass Riff Straight 8ths Blues - 60's Brit Rock	Blues	Pop	5	Blues
BAYOU	4/4	ev8	130	Bayou - Medium Straight 8ths Style	Country	Country	5	Country Classic
BBE_Tek	4/4	ev16	140	BBE_Tek Euro-Tek	Modern Pop	Pop	5	Modern Pop
BBND_FST	4/4	sw8	250	Big Band - Fast Swing	Jazz	Jazz	5	Big Band,Jazz Swing
Be_53s_1	4/4	ev8	135	Be_53s_1 - Med. Even 8ths Blues Rock	Blues	Pop	5	Blues
BeachCar	4/4	sw8	133	BeachCar - 60s Surf Shuffle Rock	Lite Pop	Pop	5	Surf
BEEBROCK	4/4	ev8	106	BeeB Rock Blues	Blues	Pop	5	Blues
BEEBROK4	4/4	ev8	106	BeeB Rock 4 Variation	Blues	Pop	5	Blues
BEEBROK5	4/4	ev8	106	BeeB Rock Blues Variation	Blues	Pop	5	Blues
BEEBSHUF	4/4	sw8	130	BeeB Blues Shuffle	Blues	Pop	5	Blues
BEEBSLO	12/8	sw8	65	BeeB Slow - Slow 12/8 Blues	Blues	Pop	5	Blues
Beguine2	4/4	ev16	130	Beguine2 - Latin Medium Even 16ths	Latin	Jazz	5	Latin
BE_LHEV8	4/4	ev8	165	BE Left-Hand Ev. 8ths Comping	Jazz	Jazz	4	Jazz
Berlyn	4/4	ev16	140	Berlyn Euro-Tek	Modern Pop	Pop	5	Modern Pop
Bg101_D	4/4	ev16	165	Bluegrass 101 w/ Drums - Unplugged	Country	Country	5	Bluegrass
BGBALLAD	4/4	sw8	110	Bluegrass Ballad - Medium Swing 8ths	Country	Country	5	Country Ballad,Bluegrass
BgBoogie	4/4	sw16	90	Bluegrass Boogie - Unplugged	Country	Country	4	Bluegrass
BGEE_BAL	4/4	sw8	75	Bgee 70s Pop Swing Ballad	Jazz	Jazz	5	Jazz Ballad,Jazz Swing,Lite Pop,Ballad
B_GEES1	4/4	ev16	110	BGees 1 - 80s Disco	Modern Pop	Pop	5	Pop,Reggae,Disco
B_GEES2	4/4	ev16	100	BGees 2 - Pop 16ths	Modern Pop	Pop	5	Pop,Reggae
BGPOP	4/4	ev8	130	Bluegrass Pop - Ev.8ths Bluegrass Pop	Country	Country	5	Bluegrass,Country Classic
Bgras101	4/4	ev16	165	Bluegrass 101 - Unplugged	Country	Country	4	Bluegrass
BGROCK	4/4	ev8	160	Bluegrass Rock - Uptempo Ev.8ths	Country	Country	5	Bluegrass
BHANGRA1	4/4	sw16	90	Bhangra 1 - Pop Dance from India	Modern Pop	Pop	5	Pop,World,Bollywood,World
Big+	4/4	ev8	90	Aggressive Country Rock+	Country	Country	5	Country Contemporary
BIGBAND1	4/4	sw8	110	Big Band 1 -Medium Swing Big Band	Jazz	Jazz	5	Big Band,Jazz Swing
BIG_BEAT	4/4	ev16	70	Big Beat - Slow Top-40 Style	Lite Pop	Pop	5	Pop
BigPink	4/4	ev16	80	Big Pink - Unplugged	Country	Country	5	Country Contemporary,Lite Pop
BigSur	4/4	ev16	100	Big Sur - LA Pop Jazz	Blues	Pop	5	Jazz,Fusion
BigTony	4/4	sw16	85	Big Tony - Slow Swing 16 Funk Rock	Folk	Pop	5	Funk
BISHOPS	4/4	ev8	140	Bishops -Medium Straight 8 Southern Gospel	Country	Country	5	Country Classic,Gospel,Worship,Lite Pop,Gospel
BLAKWOOD	4/4	sw8	115	Blackwood - Bouncy Southern Gospel	Country	Country	5	Gospel,Worship,Lite Pop,Gospel
BlGrass1	4/4	sw16	125	BlGrass1 - Bluegrass Soundtrack Style	Country	Country	5	Bluegrass,New Age,Lite Pop
BLINK_1	4/4	ev8	145	Blink 1 - Top 40 Grunge	Heavy Rock	Pop	5	Heavy Rock
BlJump1	4/4	sw8	165	Blues Jump - Blues Shuffle	Blues	Jazz	5	Blues
BLONDY1	4/4	ev16	108	Blondy1 - Pop-Techno	Modern Pop	Pop	5	Disco
BLTRACY	4/4	ev8	100	Blues Tracy - Soulful Blues Rock	Blues	Pop	5	R&B,Soul
Blue+	4/4	sw8	110	Classic Country Shuffle+	Country	Country	5	Country Classic
BluesHop	4/4	sw16	98	Blues Hop - Swing 16 Style	Blues	Pop	5	Blues
BluesStr	4/4	sw8	90	BluesStr - Bluesy Jazz w/ Strings	Blues	Jazz	5	Jazz,Jazz Swing,Jazz,Orchestral
Bluesy1	4/4	sw8	90	Bluesy1 - Blues Shuffle BG Style	Blues	Pop	5	New Age,Lite Pop
BLUGRAS1	4/4	ev16	120	Bluegrass 1	Country	Country	5	Bluegrass
BLUGRAS5	4/4	sw16	115	Bluegrass 5 Swing 16ths	Country	Country	4	Bluegrass
